REEF_ID,YEAR,SUBREGION,REGION_PS,MACROALGAE,HARD_CORAL,PSI,LON,LAT
1862,2003,Philippines_Spra,Indo-Pacific,15,27.5,-0.0824,123.96964,10.25653
1863,2006,Philippines_Spra,Indo-Pacific,11.9,13.1,0.32899,124.02111,10.30694
1865,2002,Philippines_Spra,Indo-Pacific,33.1,27.2,0.76349,124.01278,10.28822
1866,2002,Philippines_Spra,Indo-Pacific,6.9,17.5,-0.06999,124.04728,10.11597
1867,2002,Philippines_Spra,Indo-Pacific,34.7,8.1,1.57155,124.07092,10.27186
1868,2003,Philippines_Spra,Indo-Pacific,22.5,30.6,0.14194,123.98072,10.25697
1869,2003,Philippines_Spra,Indo-Pacific,16.9,21.3,0.24523,124.02211,10.30847
1870,2003,SW Pacific,Indo-Pacific,54.4,19.4,2.04279,178.0895,-18.40783
1872,1997,E Indonesia_PNG,Indo-Pacific,37.2,54.1,-0.08751,117.48333,-8.26667
1873,2005,Philippines_Spra,Indo-Pacific,0.6,62.5,-2.09539,120.61861,14.01833
1874,2005,Philippines_Spra,Indo-Pacific,1.9,37.5,-1.0724,120.62778,13.98472
1875,2005,Philippines_Spra,Indo-Pacific,4.4,42.5,-1.15049,120.60889,13.975
1876,2005,Philippines_Spra,Indo-Pacific,10,55,-1.37446,120.61889,13.98167
1877,2004,SW Pacific,Indo-Pacific,19.4,13.1,0.67402,167.11714,-20.78467
1878,2004,SW Pacific,Indo-Pacific,16.3,72.5,-1.76277,167.12178,-20.78789
1879,2004,SW Pacific,Indo-Pacific,21.3,16.3,0.63959,167.15689,-20.79394
1881,2006,SW Pacific,Indo-Pacific,1.9,59.4,-1.9172,167.26436,-20.90667
1883,2004,SW Pacific,Indo-Pacific,11.9,38.8,-0.66063,167.27406,-20.91567
1884,2006,SW Pacific,Indo-Pacific,23.1,5,1.16032,167.41203,-21.02614
1885,2006,SW Pacific,Indo-Pacific,21.3,7.5,0.97751,167.41881,-21.03094
1886,2001,SW Pacific,Indo-Pacific,11.3,21.9,-0.03768,178.3145,-16.829
1887,2003,Philippines_Spra,Indo-Pacific,26.3,35,0.1455,125.12322,10.16481
1888,2001,Philippines_Spra,Indo-Pacific,30,36.3,0.26974,124.00822,10.28839
1890,2005,Philippines_Spra,Indo-Pacific,3.8,5,0.26899,123.71969,11.29836
1891,2003,GBR,GBR,36.9,42.5,0.34465,146.5,-19.08333
1892,2004,GBR,GBR,40.6,11.3,1.72402,146.87167,-19.18333
1893,2006,GBR,GBR,1.6,69.1,-2.3057,146.5,-19.09
1894,2001,GBR,GBR,22.5,46.9,-0.48562,146.51,-19.09
